ID	TSN	Name	Phylum
1	10031	Gymnodinium	Pyrrophycophyta
2	10212	Peridinium	Pyrrophycophyta
3	10340	Protoperidinium	Pyrrophycophyta
4	10359	Gonyaulax	Pyrrophycophyta
5	10397	Ceratium	Pyrrophycophyta
6	10536	Scrippsiella	Pyrrophycophyta
7	11217	Laminaria	Phaeophyta
8	11246	Agarum	Phaeophyta
9	11250	Costaria costata	Phaeophyta
10	11277	Nereocystis luetkeana	Phaeophyta
11	11289	Alaria	Phaeophyta
12	11314	Desmarestia	Phaeophyta
13	11365	Cystoseira	Phaeophyta
14	11424	Colpomenia	Phaeophyta
15	11531	Bangia	Rhodophyta
16	12322	Corallina	Rhodophyta
17	12441	Bossiella	Rhodophyta
18	12841	Palmaria	Rhodophyta
19	13080	Microcladia	Rhodophyta
20	13440	Polysiphonia	Rhodophyta
21	13583	Odonthalia	Rhodophyta
22	1447	Chrysophyta	Chrysophyta
23	154972	Echiura	Echiura
24	155456	Phoronida	Phoronida
25	155471	Gymnolaemata	Ectoprocta
26	156940	Ctenodiscus crispatus	Echinodermata
27	157066	Crossaster papposus	Echinodermata
28	157075	Solaster dawsoni	Echinodermata
29	157076	Solaster endeca	Echinodermata
30	157113	Pteraster tesselatus	Echinodermata
31	157152	Henricia	Echinodermata
32	157215	Asterias	Echinodermata
33	157224	Evasterias troschelii	Echinodermata
34	157274	Pycnopodia helianthoides	Echinodermata
35	157325	Ophiuroidea	Echinodermata
36	157969	Strongylocentrotus droebachiensis	Echinodermata
37	157971	Strongylocentrotus franciscanus	Echinodermata
38	158016	Echinarachnius parma	Echinodermata
39	158150	Psolus	Echinodermata
40	158191	Cucumaria	Echinodermata
41	158307	Aspidochirotacea	Echinodermata
42	158423	Apodacea	Echinodermata
43	158541	Crinoidea	Echinodermata
44	158650	Chaetognatha	Chaetognatha
45	158857	Clavelinidae	Chordata
46	159038	Aplidium	Chordata
47	159484	Boltenia	Chordata
48	159498	Halocynthia	Chordata
49	159540	Molgulidae	Chordata
50	159632	Thaliacea	Chordata
51	159664	Appendicularia	Chordata
52	159910	Lamna ditropis	Chordata
53	160424	Prionace glauca	Chordata
